pair_id,template_id,change_type,original_query,modified_query,original_value,modified_value
44,T04,concern_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?",acne,acne
45,T04,concern_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have oily skin and wrinkles. My budget is medium. What products would you suggest?",acne,wrinkles
46,T04,concern_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have oily skin and dryness. My budget is medium. What products would you suggest?",acne,dryness
47,T04,concern_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have oily skin and pigmentation. My budget is medium. What products would you suggest?",acne,pigmentation
48,T04,concern_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have oily skin and redness. My budget is medium. What products would you suggest?",acne,redness
49,T05,age_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 20, I have oily skin with acne. Can you suggest a skincare routine?",25,20
50,T05,age_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 25, I have oily skin with acne. Can you suggest a skincare routine?",25,25
51,T05,age_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 30, I have oily skin with acne. Can you suggest a skincare routine?",25,30
52,T05,age_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 35, I have oily skin with acne. Can you suggest a skincare routine?",25,35
53,T05,age_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 40, I have oily skin with acne. Can you suggest a skincare routine?",25,40
54,T05,age_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 45, I have oily skin with acne. Can you suggest a skincare routine?",25,45
55,T05,age_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 50, I have oily skin with acne. Can you suggest a skincare routine?",25,50
56,T05,skin_type_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 25, I have oily skin with acne. Can you suggest a skincare routine?",oily,oily
57,T05,skin_type_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 25, I have dry skin with acne. Can you suggest a skincare routine?",oily,dry
58,T05,skin_type_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 25, I have combination skin with acne. Can you suggest a skincare routine?",oily,combination
59,T05,skin_type_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 25, I have normal skin with acne. Can you suggest a skincare routine?",oily,normal
60,T05,concern_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 25, I have oily skin with acne. Can you suggest a skincare routine?",acne,acne
61,T05,concern_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 25, I have oily skin with wrinkles. Can you suggest a skincare routine?",acne,wrinkles
62,T05,concern_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 25, I have oily skin with dryness. Can you suggest a skincare routine?",acne,dryness
63,T05,concern_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 25, I have oily skin with pigmentation. Can you suggest a skincare routine?",acne,pigmentation
64,T05,concern_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 25, I have oily skin with redness. Can you suggest a skincare routine?",acne,redness
65,T07,age_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 20, I have oily skin and struggle with acne. What would be a safe and gentle option?",25,20
66,T07,age_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?",25,25
67,T07,age_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 30, I have oily skin and struggle with acne. What would be a safe and gentle option?",25,30
68,T07,age_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 35, I have oily skin and struggle with acne. What would be a safe and gentle option?",25,35
69,T07,age_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 40, I have oily skin and struggle with acne. What would be a safe and gentle option?",25,40
70,T07,age_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 45, I have oily skin and struggle with acne. What would be a safe and gentle option?",25,45
71,T07,age_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 50, I have oily skin and struggle with acne. What would be a safe and gentle option?",25,50
72,T07,skin_type_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?",oily,oily
73,T07,skin_type_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 25, I have dry skin and struggle with acne. What would be a safe and gentle option?",oily,dry
74,T07,skin_type_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 25, I have combination skin and struggle with acne. What would be a safe and gentle option?",oily,combination
75,T07,skin_type_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 25, I have normal skin and struggle with acne. What would be a safe and gentle option?",oily,normal
76,T07,concern_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?",acne,acne
77,T07,concern_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 25, I have oily skin and struggle with wrinkles. What would be a safe and gentle option?",acne,wrinkles
78,T07,concern_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 25, I have oily skin and struggle with dryness. What would be a safe and gentle option?",acne,dryness
79,T07,concern_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 25, I have oily skin and struggle with pigmentation. What would be a safe and gentle option?",acne,pigmentation
80,T07,concern_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 25, I have oily skin and struggle with redness. What would be a safe and gentle option?",acne,redness
81,T03,sensitivity_change,"I am 25, I have oily and sensitive skin, with acne as my main issue. What should I use?","I am 25, I have oily and sensitive skin, with acne as my main issue. What should I use?",sensitive,sensitive
82,T03,sensitivity_change,"I am 25, I have oily and sensitive skin, with acne as my main issue. What should I use?","I am 25, I have oily and  skin, with acne as my main issue. What should I use?",sensitive,
83,T04,budget_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have oily skin and acne. My budget is low. What products would you suggest?",medium,low
84,T04,budget_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?",medium,medium
85,T04,budget_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have oily skin and acne. My budget is high. What products would you suggest?",medium,high
86,T09,ingredient_pref_change,I am 25 with oily skin and acne. I would prefer products with niacinamide. Any suggestions?,I am 25 with oily skin and acne. I would prefer products with natural ingredients. Any suggestions?,niacinamide,natural ingredients
87,T09,ingredient_pref_change,I am 25 with oily skin and acne. I would prefer products with niacinamide. Any suggestions?,I am 25 with oily skin and acne. I would prefer products with retinol. Any suggestions?,niacinamide,retinol
88,T09,ingredient_pref_change,I am 25 with oily skin and acne. I would prefer products with niacinamide. Any suggestions?,I am 25 with oily skin and acne. I would prefer products with vitamin C. Any suggestions?,niacinamide,vitamin C
89,T09,ingredient_pref_change,I am 25 with oily skin and acne. I would prefer products with niacinamide. Any suggestions?,I am 25 with oily skin and acne. I would prefer products with hyaluronic acid. Any suggestions?,niacinamide,hyaluronic acid
90,T09,ingredient_pref_change,I am 25 with oily skin and acne. I would prefer products with niacinamide. Any suggestions?,I am 25 with oily skin and acne. I would prefer products with niacinamide. Any suggestions?,niacinamide,niacinamide
91,T10,ingredient_avoid_change,"I am 25, I have oily skin and acne, but I want to avoid alcohol. What should I choose?","I am 25, I have oily skin and acne, but I want to avoid alcohol. What should I choose?",alcohol,alcohol
92,T10,ingredient_avoid_change,"I am 25, I have oily skin and acne, but I want to avoid alcohol. What should I choose?","I am 25, I have oily skin and acne, but I want to avoid fragrance. What should I choose?",alcohol,fragrance
93,T10,ingredient_avoid_change,"I am 25, I have oily skin and acne, but I want to avoid alcohol. What should I choose?","I am 25, I have oily skin and acne, but I want to avoid retinol. What should I choose?",alcohol,retinol
94,T10,ingredient_avoid_change,"I am 25, I have oily skin and acne, but I want to avoid alcohol. What should I choose?","I am 25, I have oily skin and acne, but I want to avoid acids. What should I choose?",alcohol,acids
95,T10,ingredient_avoid_change,"I am 25, I have oily skin and acne, but I want to avoid alcohol. What should I choose?","I am 25, I have oily skin and acne, but I want to avoid parabens. What should I choose?",alcohol,parabens
