pair_id,template_id,change_type,original_query,modified_query,original_value,modified_value
24,T02,concern_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 25, my skin type is oily, and I'm dealing with dryness. Any recommendations?",acne,dryness
25,T02,concern_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 25, my skin type is oily, and I'm dealing with pigmentation. Any recommendations?",acne,pigmentation
26,T02,concern_change,"Hi! I'm 25, my skin type is oily, and I'm dealing with acne. Any recommendations?","Hi! I'm 25, my skin type is oily, and I'm dealing with redness. Any recommendations?",acne,redness
27,T04,age_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 20, I have oily skin and acne. My budget is medium. What products would you suggest?",25,20
28,T04,age_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 30, I have oily skin and acne. My budget is medium. What products would you suggest?",25,30
29,T04,age_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 35, I have oily skin and acne. My budget is medium. What products would you suggest?",25,35
30,T04,age_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 40, I have oily skin and acne. My budget is medium. What products would you suggest?",25,40
31,T04,age_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 45, I have oily skin and acne. My budget is medium. What products would you suggest?",25,45
32,T04,age_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 50, I have oily skin and acne. My budget is medium. What products would you suggest?",25,50
33,T04,skin_type_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have dry skin and acne. My budget is medium. What products would you suggest?",oily,dry
34,T04,skin_type_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have combination skin and acne. My budget is medium. What products would you suggest?",oily,combination
35,T04,skin_type_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have normal skin and acne. My budget is medium. What products would you suggest?",oily,normal
36,T04,concern_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have oily skin and wrinkles. My budget is medium. What products would you suggest?",acne,wrinkles
37,T04,concern_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have oily skin and dryness. My budget is medium. What products would you suggest?",acne,dryness
38,T04,concern_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have oily skin and pigmentation. My budget is medium. What products would you suggest?",acne,pigmentation
39,T04,concern_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have oily skin and redness. My budget is medium. What products would you suggest?",acne,redness
40,T05,age_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 20, I have oily skin with acne. Can you suggest a skincare routine?",25,20
41,T05,age_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 30, I have oily skin with acne. Can you suggest a skincare routine?",25,30
42,T05,age_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 35, I have oily skin with acne. Can you suggest a skincare routine?",25,35
43,T05,age_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 40, I have oily skin with acne. Can you suggest a skincare routine?",25,40
44,T05,age_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 45, I have oily skin with acne. Can you suggest a skincare routine?",25,45
45,T05,age_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 50, I have oily skin with acne. Can you suggest a skincare routine?",25,50
46,T05,skin_type_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 25, I have dry skin with acne. Can you suggest a skincare routine?",oily,dry
47,T05,skin_type_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 25, I have combination skin with acne. Can you suggest a skincare routine?",oily,combination
48,T05,skin_type_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 25, I have normal skin with acne. Can you suggest a skincare routine?",oily,normal
49,T05,concern_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 25, I have oily skin with wrinkles. Can you suggest a skincare routine?",acne,wrinkles
50,T05,concern_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 25, I have oily skin with dryness. Can you suggest a skincare routine?",acne,dryness
51,T05,concern_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 25, I have oily skin with pigmentation. Can you suggest a skincare routine?",acne,pigmentation
52,T05,concern_change,"I am 25, I have oily skin with acne. Can you suggest a skincare routine?","I am 25, I have oily skin with redness. Can you suggest a skincare routine?",acne,redness
53,T07,age_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 20, I have oily skin and struggle with acne. What would be a safe and gentle option?",25,20
54,T07,age_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 30, I have oily skin and struggle with acne. What would be a safe and gentle option?",25,30
55,T07,age_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 35, I have oily skin and struggle with acne. What would be a safe and gentle option?",25,35
56,T07,age_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 40, I have oily skin and struggle with acne. What would be a safe and gentle option?",25,40
57,T07,age_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 45, I have oily skin and struggle with acne. What would be a safe and gentle option?",25,45
58,T07,age_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 50, I have oily skin and struggle with acne. What would be a safe and gentle option?",25,50
59,T07,skin_type_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 25, I have dry skin and struggle with acne. What would be a safe and gentle option?",oily,dry
60,T07,skin_type_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 25, I have combination skin and struggle with acne. What would be a safe and gentle option?",oily,combination
61,T07,skin_type_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 25, I have normal skin and struggle with acne. What would be a safe and gentle option?",oily,normal
62,T07,concern_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 25, I have oily skin and struggle with wrinkles. What would be a safe and gentle option?",acne,wrinkles
63,T07,concern_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 25, I have oily skin and struggle with dryness. What would be a safe and gentle option?",acne,dryness
64,T07,concern_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 25, I have oily skin and struggle with pigmentation. What would be a safe and gentle option?",acne,pigmentation
65,T07,concern_change,"I am 25, I have oily skin and struggle with acne. What would be a safe and gentle option?","I am 25, I have oily skin and struggle with redness. What would be a safe and gentle option?",acne,redness
66,T04,budget_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have oily skin and acne. My budget is low. What products would you suggest?",medium,low
67,T04,budget_change,"I am 25, I have oily skin and acne. My budget is medium. What products would you suggest?","I am 25, I have oily skin and acne. My budget is high. What products would you suggest?",medium,high
68,T09,ingredient_pref_change,I am 25 with oily skin and acne. I would prefer products with niacinamide. Any suggestions?,I am 25 with oily skin and acne. I would prefer products with natural ingredients. Any suggestions?,niacinamide,natural ingredients
69,T09,ingredient_pref_change,I am 25 with oily skin and acne. I would prefer products with niacinamide. Any suggestions?,I am 25 with oily skin and acne. I would prefer products with retinol. Any suggestions?,niacinamide,retinol
70,T09,ingredient_pref_change,I am 25 with oily skin and acne. I would prefer products with niacinamide. Any suggestions?,I am 25 with oily skin and acne. I would prefer products with vitamin C. Any suggestions?,niacinamide,vitamin C
71,T09,ingredient_pref_change,I am 25 with oily skin and acne. I would prefer products with niacinamide. Any suggestions?,I am 25 with oily skin and acne. I would prefer products with hyaluronic acid. Any suggestions?,niacinamide,hyaluronic acid
72,T10,ingredient_avoid_change,"I am 25, I have oily skin and acne, but I want to avoid alcohol. What should I choose?","I am 25, I have oily skin and acne, but I want to avoid fragrance. What should I choose?",alcohol,fragrance
73,T10,ingredient_avoid_change,"I am 25, I have oily skin and acne, but I want to avoid alcohol. What should I choose?","I am 25, I have oily skin and acne, but I want to avoid retinol. What should I choose?",alcohol,retinol
74,T10,ingredient_avoid_change,"I am 25, I have oily skin and acne, but I want to avoid alcohol. What should I choose?","I am 25, I have oily skin and acne, but I want to avoid acids. What should I choose?",alcohol,acids
75,T10,ingredient_avoid_change,"I am 25, I have oily skin and acne, but I want to avoid alcohol. What should I choose?","I am 25, I have oily skin and acne, but I want to avoid parabens. What should I choose?",alcohol,parabens
