pair_id,change_type,original_products,modified_products,original_prices,modified_prices,original_tone,modified_tone
13,concern_change,"['La Roche-Posay Effac Eczane Acne Treatment Gel', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Ecz Control Anti-Imperfections Moisturizing Cream', 'Neutrogena Oil-Free Moisture SPF 15', 'Cetaphil Redness Control Mineral Sunscreen SPF 30']","[25.0, 10.0, 14.0]","[23.0, 13.0, 17.0]",neutral,neutral
14,age_change,"['La Roche-Posay Effac Eclat Anti-Imperfection Serum', 'Neutrogena Oil-Free Moisture Facial Lotion', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Eczlane AC Anti-Blemish Corrector', 'Neutrogena Oil-Free Acne Wash', 'Cetaphil Pro Acne Control Cleanser']","[35.0, 13.0, 9.0]","[23.0, 10.0, 14.0]",neutral,neutral
15,age_change,"['La Roche-Posay Effac Eucerin Oil Control', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel Adapalene 0.1%']","['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","[25.0, 15.0, 35.0]","[20.0, 10.0, 15.0]",neutral,neutral
16,age_change,"['La Roche-Posay Effac E70 Cream', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel']","['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel Adapalene 0.1%']","[25.0, 12.0, 30.0]","[24.0, 10.0, 25.0]",neutral,neutral
17,age_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'Cetaphil Pro Acne Control Moisturizer']","['La Roche-Posay Effac Eczalan A.I.', 'Neutrogena Oil-Free Salicylic Acid Acne Fighting Face Wash', 'Differin Gel Adapalene 0.1%']","[25.0, 10.0, 18.0]","[26.0, 8.0, 12.0]",neutral,neutral
18,age_change,"['La Roche-Posay Effac Eclat 2-in-1 Anti-Blemish Corrector', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Eczker Night Spot Treatment', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","[26.0, 13.0, 9.0]","[26.0, 10.0, 7.0]",neutral,neutral
19,age_change,"['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Moisture', 'Differin Gel 0.1%']","['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Moisture SPF 35', 'Cetaphil Pro Clinical Blemish Control System']","[19.0, 10.0, 30.0]","[26.0, 17.0, 33.0]",neutral,neutral
20,skin_type_change,"['La Roche-Posay Effac Eczeryl Cream', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['Cetaphil Daily Facial Moisturizer with SPF 30', 'La Roche-Posay Effac Ecz La Roche-Posay Effac Gel', 'Neutrogena Hydro Boost Water Gel']","[22.0, 10.0, 9.0]","[15.0, 18.0, 20.0]",neutral,neutral
21,skin_type_change,"['La Roche-Posay Effac EAU Micellar Water', 'Neutrogena Oil-Free Salicylic Acid Acne Fighting Facial Wash', 'Differin Adapalene Gel 0.1%']","['La Roche-Posay Effac Eczlan 5', 'Neutrogena Oil-Free Moisture SPF 35', 'The Ordinary Niacinamide 10% + Zinc 1%']","[16.0, 8.0, 22.0]","[21.0, 14.0, 7.0]",neutral,neutral
22,skin_type_change,"['La Roche-Posay Effac Ecz Control Cream', 'Neutrogena Oil-Free Moisture Spf 35', 'Differin Gel']","['La Roche-Posay Effac Gel', 'Neutrogena Oil-Free Acne Wash', 'Cetaphil Pro Acne Control Oil-Absorbing Lotion']","[25.0, 15.0, 40.0]","[18.0, 8.0, 15.0]",neutral,neutral
23,concern_change,"['La Roche-Posay Effac Ecz Control Cream', 'Neutrogena Oil-Free Moisture Hydrating Lotion', 'Differin Adapalene Gel 0.1%']","['La Roche-Posay Effac Eaucial Anti-Shine Fluid', 'Neutrogena Oil-Free Moisture SPF 15', 'The Ordinary Natural Moisturizing Factors + HA']","[25.0, 13.0, 30.0]","[23.0, 11.0, 8.0]",neutral,neutral
24,concern_change,"['La Roche-Posay Effac Elastissime Unifiant Cream', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel Adapalene 0.1%']","['La Roche-Posay Effac Mat 24H Matte Perfecting Cream for Oily Skin', 'Neutrogena Hydro Boost Water Gel', 'Cetaphil DermaControl Oil-Reducing Moisturizer']","[35.0, 12.0, 24.0]","[23.0, 17.0, 15.0]",neutral,neutral
25,concern_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac VC10 Brightening Serum', 'Neutrogena Oil-Free Moisture SPF 35', 'Cetaphil Daily Fairness Anti-Dark Spot Evening Serum']","[25.0, 12.0, 8.0]","[60.0, 15.0, 27.0]",neutral,neutral
26,concern_change,"['La Roche-Posay Effac Ecz Control Cream', 'Neutrogena Oil-Free Acne Wash', 'Differin Adapalene Gel 0.1%']","['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Moisture', 'The Ordinary Niacinamide 10% + Zinc 1%']","[19.99, 8.49, 15.45]","[24.0, 13.0, 8.0]",neutral,neutral
27,age_change,"['La Roche-Posay Effac Eczane Gel', 'Neutrogena Oil-Free Moisture SPF 15', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Moisture', 'The Ordinary Niacinamide 10% + Zinc 1%']","[18.0, 9.0, 8.0]","[24.0, 14.0, 13.0]",neutral,neutral
28,age_change,"['La Roche-Posay Effac Ekzfoliante', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel']","['La Roche-Posay Effac Eclat Anti-Blemish Corrector', 'Neutrogena Oil-Free Acne Wash', 'Cetaphil Gentle Skin Cleanser']","[20.0, 15.0, 30.0]","[24.0, 10.0, 15.0]",neutral,neutral
29,age_change,"['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Acne Wash', 'Differin Adapalene Gel 0.1%']","['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'Cetaphil Pro Acne-Prone Oily Skin System']","[23.0, 11.0, 14.0]","[28.0, 10.0, 30.0]",neutral,neutral
30,age_change,"['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Moisture SPF 35', 'CeraVe SA Cream']","['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'Cetaphil Pro Acne Prone & Oily Skin Daily Face Moisturizer']","[25.0, 15.0, 16.0]","[25.0, 10.0, 18.0]",neutral,neutral
31,age_change,"['La Roche-Posay Effac Efirme Acne Treatment Cream', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Eczela Advanced Acne Treatment Cream', 'Neutrogena Oil-Free Acne Wash', 'Cetaphil Pro Acne Control Gel']","[30.0, 15.0, 12.0]","[28.0, 10.0, 17.0]",neutral,neutral
32,age_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel']","['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Moisture', ""Paula's Choice SKIN PERFECTING 2% BHA Liquid""]","[20.0, 10.0, 30.0]","[25.0, 15.0, 30.0]",neutral,neutral
33,skin_type_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Moisture', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Toleriane Double Repair Moisturizer', 'The Ordinary Niacinamide 10% + Zinc 1%', 'Neutrogena Hydro Boost Water Gel']","[25.0, 14.0, 8.0]","[25.0, 10.0, 18.0]",neutral,neutral
34,skin_type_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Eczane Anti-Blemish Face Cream', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","[28.0, 10.0, 7.0]","[18.0, 8.0, 7.0]",neutral,neutral
35,skin_type_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel']","['La Roche-Posay Effac Eczane', 'Neutrogena Oil-Free Moisture', 'The Ordinary Niacinamide 10% + Zinc 1%']","[25.0, 10.0, 30.0]","[25.0, 15.0, 8.0]",neutral,neutral
36,concern_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Moisture', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Efflekear AC Purifying Foaming Gel', 'Neutrogena Hydro Boost Water Gel', 'Olay Regenerist Micro-Sculpting Cream']","[25.0, 15.0, 8.0]","[18.0, 20.0, 30.0]",neutral,neutral
37,concern_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Eclaircissant Anti-Blemish and Brightening Corrector', 'Neutrogena Hydro Boost Water Gel', 'The Ordinary Natural Moisturizing Factors + HA']","[25.0, 10.0, 8.0]","[21.0, 15.0, 10.0]",neutral,neutral
38,concern_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac E vitamin daily perfector', 'Neutrogena Oil-Free Moisture Spf 35', 'The Ordinary Niacinamide 10% + Zinc 1%']","[25.0, 10.0, 7.0]","[26.0, 13.0, 7.0]",neutral,neutral
39,concern_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Moisture', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Moisture', 'The Ordinary Niacinamide 10% + Zinc 1%']","[25.0, 15.0, 8.0]","[25.0, 10.0, 7.0]",neutral,neutral
40,age_change,"['La Roche-Posay Effac Ecz Control Cream', 'Neutrogena Oil-Free Moisture SPF 35', 'Cetaphil Pro Acne Control Cleanser']","['La Roche-Posay Effac Gel', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel']","[23.0, 15.0, 12.0]","[19.0, 7.0, 27.0]",neutral,neutral
41,age_change,"['La Roche-Posay Effac Elica Cream', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Eforcel AC Correcting Cream', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","[23.0, 10.0, 8.0]","[25.0, 10.0, 7.0]",neutral,neutral
42,age_change,"['La Roche-Posay Effac Gel', 'Neutrogena Oil-Free Moisture SPF 15', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Ecz Control Cream', 'Neutrogena Oil-Free Acne Wash', 'Differin Adapalene Gel 0.1%']","[18.0, 10.0, 9.0]","[24.0, 10.0, 15.0]",neutral,neutral
43,age_change,"['La Roche-Posay Effac Ecz Control Cream', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Eczelic 5', 'Neutrogena Oil-Free Moisture', 'The Ordinary Niacinamide 10% + Zinc 1%']","[25.0, 10.0, 8.0]","[25.0, 10.0, 8.0]",neutral,neutral
44,age_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Moisture', 'The Ordinary Salicylic Acid 2%']","['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel Adapalene 0.1%']","[25.0, 15.0, 9.0]","[25.0, 12.0, 35.0]",neutral,neutral
45,age_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Eforcel AR Cream', 'Neutrogena Oil-Free Moisture', 'Differin Gel']","[25.0, 10.0, 7.0]","[30.0, 15.0, 25.0]",neutral,neutral
46,skin_type_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Moisture', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Toleriane Dermo-Clarifying Cream', 'Neutrogena Hydro Boost Water Gel', 'The Ordinary Niacinamide 10% + Zinc 1%']","[23.0, 15.0, 11.0]","[20.0, 15.0, 7.0]",neutral,neutral
47,skin_type_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Moisture', 'The Ordinary Salicylic Acid 2% Solution']","['La Roche-Posay Effac Gel', 'Neutrogena Hydro Boost Water Gel', 'The Ordinary Niacinamide 10% + Zinc 1%']","[25.0, 13.0, 8.0]","[18.0, 20.0, 14.0]",neutral,neutral
48,skin_type_change,"['La Roche-Posay Effac Eczane Anti-Blemish Gel', 'Neutrogena Oil-Free Moisture SPF 15', 'The Ordinary Salicylic Acid 2% Solution']","['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Acne Wash', 'Cetaphil Daily Facial Moisturizer']","[18.0, 10.0, 7.0]","[18.0, 7.0, 12.0]",neutral,neutral
49,concern_change,"['La Roche-Posay Effac Gel', 'Neutrogena Oil-Free Moisture', ""Paula's Choice SKIN PERFECTING 2% BHA Liquid""]","['La Roche-Posay Effac Ecz контроля себума увлажняющий крем', 'Neutrogena Ultra Sheer Dry-Touch Sunscreen SPF 100', 'Olay Regenerist Micro-Sculpting Cream']","[18.0, 10.0, 24.0]","[23.0, 18.0, 36.0]",neutral,neutral
50,concern_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Ecz Control', 'Neutrogena Hydro Boost Water Gel', 'Cetaphil Oil Control Gel Moisturizer']","[20.0, 10.0, 8.0]","[23.0, 17.0, 15.0]",neutral,neutral
51,concern_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'Differin Adapalene Gel 0.1%']","['La Roche-Posay Effac Eclaircine Daily Brightening Corrector', 'Neutrogena Oil-Free Moisture Lotion', 'The Ordinary Niacinamide 10% + Zinc 1%']","[25.0, 10.0, 18.0]","[29.0, 12.0, 6.0]",neutral,neutral
52,concern_change,"['La Roche-Posay Effac Gel', 'Neutrogena Oil-Free Moisture Cream', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Ecz Control Cream', 'Neutrogena Oil-Free Moisture Spf 35', 'The Ordinary Niacinamide 10% + Zinc 1%']","[20.0, 15.0, 7.0]","[20.0, 13.0, 8.0]",neutral,neutral
53,age_change,"['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Moisture', 'Cetaphil Gentle Cleansing Lotion']","['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","[25.0, 15.0, 12.0]","[25.0, 10.0, 14.0]",neutral,neutral
54,age_change,"['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Acne Wash', 'Cetaphil Pro Acne-Prone Oily Skin Gel']","['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Acne Wash', 'Cetaphil Gentle Cleanser']","[25.0, 10.0, 15.0]","[24.0, 10.0, 13.0]",neutral,neutral
55,age_change,"['La Roche-Posay Effac Eczane Purifying Foaming Gel', 'Neutrogena Oil-Free Moisture SPF 15', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Moisture', 'Cetaphil Pro Acne-Prone Oil-Absorbing Moisturizer']","[18.0, 12.0, 8.0]","[24.0, 16.0, 18.0]",neutral,neutral
56,age_change,"['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Moisture', 'Cetaphil Gentle Skin Cleanser']","[20.0, 12.0, 8.0]","[20.0, 12.0, 15.0]",neutral,neutral
57,age_change,"['La Roche-Posay Effac Eczlane Anti-Blemish Spot Treatment', 'Neutrogena Oil-Free Acne Wash', 'Cetaphil Gentle Skin Cleanser']","['La Roche-Posay Effac Eforce Advanced Acne Cream', 'Neutrogena Oil-Free Moisture Lotion', 'Cetaphil Pro Acne Control Oil Absorbing Lotion']","[18.0, 8.0, 10.0]","[24.0, 15.0, 20.0]",neutral,neutral
58,age_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Glycolic Acid 7% Toning Solution']","['La Roche-Posay Effac Ecz Control Purifying Foaming Gel', 'Neutrogena Oil-Free Moisturizer SPF 35', 'The Ordinary Niacinamide 10% + Zinc 1%']","[24.0, 10.0, 8.0]","[18.0, 14.0, 8.0]",neutral,neutral
59,skin_type_change,"['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Moisture', 'The Ordinary Glycolic Acid 7% Toning Solution']","['Cetaphil Gentle Skin Cleanser', 'La Roche-Posay Hydraphase Intense Увлажняющий крем', 'Neutrogena Hydro Boost Water Gel']","[24.0, 15.0, 9.0]","[15.0, 35.0, 20.0]",neutral,neutral
60,skin_type_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'Cetaphil Pro Acne-Prone & Oily Skin Gel']","['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","[26.0, 11.0, 16.0]","[23.0, 10.0, 9.0]",neutral,neutral
61,skin_type_change,"['La Roche-Posay Effac Ecz Control Cream', 'Neutrogena Oil-Free Moisture SPF 15', 'The Ordinary Glycolic Acid 7% Toning Solution']","['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Acne Wash', 'Cetaphil Gentle Skin Cleanser']","[23.0, 13.0, 8.0]","[19.99, 7.99, 12.49]",neutral,neutral
62,concern_change,"['La Roche-Posay Effac Eforcel AC targeted acne treatment cream', 'Neutrogena Oil-Free Moisturizer SPF 35', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Ecz Control', 'Neutrogena Hydro Boost Water Gel', ""L'Oréal Paris Revitalift Derm Intensives 1.5% Pure Hyaluronic Acid Serum""]","[26.0, 15.0, 9.0]","[28.0, 15.0, 20.0]",neutral,neutral
63,concern_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Ecz Control', 'Neutrogena Hydro Boost Water Gel', 'Cetaphil Oil-Absorbing Matte Formula Moisturizer']","[24.0, 13.0, 7.0]","[25.0, 18.0, 14.0]",neutral,neutral
64,concern_change,"['La Roche-Posay Effac Ecz Control Cream', 'Neutrogena Oil-Free Acne Wash', 'Cetaphil Gentle Cleanser']","['La Roche-Posay Effacience Unifiante Anti-Blemish and Pigment Control Serum', 'Neutrogena Oil-Free Moisture SPF 35', 'The Ordinary Niacinamide 10% + Zinc 1%']","[24.0, 12.0, 16.0]","[50.0, 12.0, 9.0]",neutral,neutral
65,concern_change,"['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel']","['La Roche-Posay Effac Ekzima Anti-Blemish Oil-Free Gel', 'Neutrogena Oil-Free Moisture SPF 15', 'The Ordinary Niacinamide 10% + Zinc 1%']","[23.0, 10.0, 28.0]","[19.0, 12.0, 7.0]",neutral,neutral
66,budget_change,"['La Roche-Posay Effac Elica Acne Treatment Cream', 'Neutrogena Oil-Free Acne Wash', 'The Ordinary Niacinamide 10% + Zinc 1%']","['La Roche-Posay Effac Eczalan Acne Treatment Gel', 'Neutrogena Oil-Free Acne Wash', 'CeraVe Foaming Cream Cleanser']","[25.0, 10.0, 7.0]","[15.0, 8.0, 13.0]",neutral,neutral
67,budget_change,"['La Roche-Posay Effac Eclat', 'Neutrogena Oil-Free Acne Wash', 'Differin Gel']","['La Roche-Posay Effac Ecz 5', 'Differin Gel 0.1%', 'Neutrogena Oil-Free Moisture']","[35.0, 15.0, 20.0]","[30.0, 50.0, 25.0]",neutral,neutral
68,ingredient_pref_change,"['The Ordinary Niacinamide 10% + Zinc 1%', 'La Roche-Posay Effac Ecz Control Cream', 'Neutrogena Oil-Free Moisture With Niacinamide']","['La Roche-Posay Effac Ecz Control Cream', 'Neutrogena Oil-Free Moisture Cream', 'The Ordinary Niacinamide 10% + Zinc 1%']","[8.9, 24.0, 15.0]","[22.0, 14.0, 8.0]",neutral,neutral
69,ingredient_pref_change,"['The Ordinary Niacinamide 10% + Zinc 1%', 'La Roche-Posay Effac Ecz Control Duo', 'Neutrogena Oil-Free Acne Wash With Niacinamide']","['Differin Gel', 'La Roche-Posay Redermic R Anti-Aging Retinol Serum', 'Neutrogena Rapid Wrinkle Repair Eye Cream with Retinol']","[8.9, 35.5, 10.74]","[30.0, 60.0, 20.0]",neutral,neutral
70,ingredient_pref_change,"['The Ordinary Niacinamide 10% + Zinc 1%', 'La Roche-Posay Effac Acne Purifying Niacinamide 2% Cream', 'Neutrogena Oil-Free Acne Wash With Niacinamide']","['The Ordinary Vitamin C Suspension 23% + HA Spheres 2%', 'Neutrogena Oil-Free Acne Wash', 'La Roche-Posay Effac VC 10 Vitamin C Serum']","[8.9, 23.5, 9.49]","[8.0, 12.0, 46.0]",neutral,neutral
71,ingredient_pref_change,"['The Ordinary Niacinamide 10% + Zinc 1%', 'La Roche-Posay Effac Ecz Control Dual Action Cream', 'Neutrogena Oil-Free Moisture Combination to Oily Skin']","['La Roche-Posay Effac Gel Cream', 'Neutrogena Hydro Boost Water Gel', 'CeraVe Hydrating Cleanser']","[8.5, 22.0, 14.0]","[25.0, 19.0, 14.0]",neutral,neutral
72,ingredient_avoid_change,"['La Roche-Posay Effac Ecz Control', 'Neutrogena Oil-Free Acne Wash', 'Cetaphil Pro Dermatologist Recommended Gentle Cleanser']","['La Roche-Posay Effac Ecz 5', 'Neutrogena Oil-Free Acne Wash', 'Cetaphil Gentle Skin Cleanser']","[24.0, 11.0, 16.0]","[25.0, 10.0, 15.0]",positive,neutral
73,ingredient_avoid_change,"['La Roche-Posay Effac Eczker Serum', 'Neutrogena Oil-Free Acne Wash', 'Cetaphil Gentle Skin Cleanser']","['La Roche-Posay Effac Gel', 'Neutrogena Oil-Free Moisture SPF 15', 'Cetaphil Pro Acne Control Cleanser']","[35.0, 10.0, 15.0]","[18.0, 12.0, 10.0]",neutral,neutral
74,ingredient_avoid_change,"['La Roche-Posay Effac Eczane Anti-Blemish Gel', 'Neutrogena Oil-Free Moisture Serum', 'Cetaphil Gentle Skin Cleanser']","['La Roche-Posay Effac Mat Control', 'Neutrogena Oil-Free Moisture Cream', 'Cetaphil Pro Acne-Prone & Oily Skin Gel-Cream']","[18.0, 14.0, 10.0]","[24.0, 13.0, 18.0]",neutral,neutral
